City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
118,Havoysund,NO,70.9963,24.6622,45.48,80,100,30.22,overcast clouds,0.0,0.0
119,Salalah,OM,17.0151,54.0924,75.29,46,0,2.3,clear sky,0.0,0.0
120,Okha,RU,53.5739,142.9478,36.12,64,54,7.87,broken clouds,0.0,0.0
121,Jamestown,US,42.097,-79.2353,42.12,90,90,3.0,mist,0.0,0.0
122,Walvis Bay,NA,-22.9575,14.5053,55.09,93,0,4.61,clear sky,0.0,0.0
123,Port Elizabeth,ZA,-33.918,25.5701,61.11,72,0,19.57,light rain,0.17,0.0
124,Gardone Val Trompia,IT,45.6942,10.187,47.91,95,82,5.21,broken clouds,0.0,0.0
125,Esperance,AU,-33.8667,121.9,64.24,49,81,20.78,broken clouds,0.0,0.0
126,Bogoroditsk,RU,53.7717,38.1241,37.15,90,1,7.0,clear sky,0.0,0.0
127,Ilulissat,GL,69.2167,-51.1,30.22,93,75,4.61,broken clouds,0.0,0.0
128,Orange,US,33.7,-117.7675,63.61,86,1,4.61,clear sky,0.0,0.0
129,Umm Kaddadah,SD,13.6017,26.6876,80.69,25,78,23.06,broken clouds,0.0,0.0
130,Fortuna,US,40.5982,-124.1573,56.35,69,90,5.75,overcast clouds,0.0,0.0
131,Daru,PG,-9.0763,143.2092,81.03,86,100,14.7,overcast clouds,0.0,0.0
132,Freeport,US,40.6576,-73.5832,55.36,56,1,0.0,clear sky,0.0,0.0
133,Saint-Augustin,CA,51.226,-58.6502,44.26,78,61,21.83,broken clouds,0.0,0.0
134,Uusikaupunki,FI,60.8004,21.4084,41.52,90,1,14.99,clear sky,0.0,0.0
135,Takoradi,GH,4.8845,-1.7554,76.06,89,98,5.23,light rain,0.86,0.0
136,Victoria,HK,22.2855,114.1577,83.97,84,43,1.01,scattered clouds,0.0,0.0
137,Qaanaaq,GL,77.484,-69.3632,5.59,72,8,8.41,clear sky,0.0,0.0
138,Bethel,US,41.3712,-73.414,48.49,81,1,0.0,clear sky,0.0,0.0
139,Garowe,SO,8.4054,48.4845,75.13,52,18,6.89,few clouds,0.0,0.0
140,Upernavik,GL,72.7868,-56.1549,23.0,93,100,11.25,light snow,0.0,0.13
141,Narrabri,AU,-30.3167,149.7833,80.69,32,90,4.61,overcast clouds,0.0,0.0
142,Kloulklubed,PW,7.0419,134.2556,88.3,73,85,11.27,overcast clouds,0.0,0.0
143,Port Alfred,ZA,-33.5906,26.891,62.35,70,55,25.03,broken clouds,0.0,0.0
144,Luderitz,NA,-26.6481,15.1594,56.21,69,0,13.73,clear sky,0.0,0.0
145,Selma,US,36.5708,-119.6121,66.25,83,60,3.85,broken clouds,0.0,0.0
146,Paamiut,GL,61.994,-49.6678,39.4,62,100,24.14,overcast clouds,0.0,0.0
147,New Norfolk,AU,-42.7826,147.0587,77.67,36,60,3.0,broken clouds,0.0,0.0
148,Zhigansk,RU,66.7697,123.3711,10.08,92,100,8.43,overcast clouds,0.0,0.0
149,Bardiyah,LY,31.7561,25.0865,67.84,60,73,13.53,broken clouds,0.0,0.0
150,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,55,0,9.22,clear sky,0.0,0.0
151,Cidreira,BR,-30.1811,-50.2056,68.27,93,84,16.02,broken clouds,0.0,0.0
152,San Carlos,VE,9.6612,-68.5827,68.43,85,66,3.36,broken clouds,0.0,0.0
153,Faanui,PF,-16.4833,-151.75,79.84,80,48,15.08,light rain,0.35,0.0
154,Nizwa,OM,22.9333,57.5333,84.02,17,1,2.44,clear sky,0.0,0.0
155,Tuatapere,NZ,-46.1333,167.6833,51.82,65,85,9.15,overcast clouds,0.0,0.0
156,Ribeira Grande,PT,38.5167,-28.7,70.47,87,99,13.06,overcast clouds,0.0,0.0
157,Castro,BR,-24.7911,-50.0119,58.32,94,83,5.79,broken clouds,0.0,0.0
